"ageID","sourceTypeID","survivalRate","relativeMAR","functioningACFraction","functioningACFractionCV"
"6","51","0.980000019","0.710994989","0.99000001","0"
"7","51","0.970000029","0.674292166","0.99000001","0"
"8","51","0.970000029","0.637589344","0.980000019","0"
"9","51","0.970000029","0.600886522","0.980000019","0"
"10","51","0.959999979","0.5641837","0.980000019","0"
"11","51","0.959999979","0.527480878","0.980000019","0"
"12","51","0.949999988","0.490778055","0.980000019","0"
"13","51","0.949999988","0.454075233","0.959999979","0"
"14","51","0.949999988","0.417372411","0.959999979","0"
"15","51","0.939999998","0.380669589","0.959999979","0"
"16","51","0.939999998","0.343966766","0.959999979","0"
"17","51","0.930000007","0.321357572","0.959999979","0"
"18","51","0.930000007","0.298748377","0.949999988","0"
"19","51","0.920000017","0.276139183","0.949999988","0"
"20","51","0.920000017","0.253529988","0.949999988","0"
"21","51","0.920000017","0.230920794","0.949999988","0"
"22","51","0.910000026","0.208311599","0.949999988","0"
"23","51","0.910000026","0.185702404","0.949999988","0"
"24","51","0.910000026","0.16309321","0.949999988","0"
"25","51","0.899999976","0.140484015","0.949999988","0"
"26","51","0.899999976","0.117874821","0.949999988","0"
"27","51","0.899999976","0.095265626","0.949999988","0"
"28","51","0.889999986","0.072656431","0.949999988","0"
"29","51","0.889999986","0.050047237","0.949999988","0"
"30","51","0.300000012","0.027438042","0.949999988","0"
"0","52","1","0.627218815","1","0"
"1","52","1","0.627218815","1","0"
"2","52","1","0.627218815","1","0"
"3","52","1","0.627218815","1","0"
"4","52","0.99000001","0.590311058","0.99000001","0"
"5","52","0.980000019","0.553403302","0.99000001","0"
"6","52","0.980000019","0.516495545","0.99000001","0"
"7","52","0.970000029","0.479587789","0.99000001","0"
"8","52","0.970000029","0.442680032","0.980000019","0"
"9","52","0.970000029","0.405772276","0.980000019","0"
"10","52","0.959999979","0.368864519","0.980000019","0"
"11","52","0.959999979","0.331956763","0.980000019","0"
"12","52","0.949999988","0.295049006","0.980000019","0"
"13","52","0.949999988","0.25814125","0.959999979","0"
"14","52","0.949999988","0.221233493","0.959999979","0"
"15","52","0.939999998","0.184325737","0.959999979","0"
