"yearID","countyID","sourceTypeID","activitytypeID","activitytype","activity"
"2017","49055","32","6","population","204"
"2017","49055","31","6","population","2628"
"2017","49055","21","6","population","1770"
"2017","49055","11","6","population","181"
"2016","49055","62","6","population","21"
"2016","49055","61","6","population","42"
"2016","49055","54","6","population","25"
"2016","49055","53","6","population","7"
"2016","49055","52","6","population","165"
"2016","49055","51","6","population","1"
"2016","49055","43","6","population","11"
"2016","49055","42","6","population","2"
"2016","49055","41","6","population","6"
"2016","49055","32","6","population","197"
"2016","49055","31","6","population","2540"
"2016","49055","21","6","population","1799"
"2016","49055","11","6","population","181"
"2015","49055","62","6","population","21"
"2015","49055","61","6","population","42"
"2015","49055","54","6","population","24"
"2015","49055","53","6","population","7"
"2015","49055","52","6","population","159"
"2015","49055","51","6","population","1"
"2015","49055","43","6","population","11"
"2015","49055","42","6","population","2"
"2015","49055","41","6","population","6"
"2015","49055","32","6","population","190"
"2015","49055","31","6","population","2453"
"2015","49055","21","6","population","1797"
"2015","49055","11","6","population","179"
"2014","49055","62","6","population","20"
"2014","49055","61","6","population","39"
"2014","49055","54","6","population","24"
"2014","49055","53","6","population","7"
"2014","49055","52","6","population","156"
"2014","49055","51","6","population","2"
"2014","49055","43","6","population","11"
"2014","49055","42","6","population","2"
"2014","49055","41","6","population","6"
"2014","49055","32","6","population","185"
"2014","49055","31","6","population","2381"
"2014","49055","21","6","population","1814"
"2014","49055","11","6","population","175"
"2013","49055","62","6","population","19"
"2013","49055","61","6","population","37"
"2013","49055","54","6","population","24"
"2013","49055","53","6","population","7"
"2013","49055","52","6","population","152"
"2013","49055","51","6","population","2"
"2013","49055","43","6","population","11"
"2013","49055","42","6","population","2"
"2013","49055","41","6","population","6"
"2013","49055","32","6","population","179"
"2013","49055","31","6","population","2307"
"2013","49055","21","6","population","1810"
"2013","49055","11","6","population","175"
"2012","49055","62","6","population","19"
"2012","49055","61","6","population","37"
"2012","49055","54","6","population","25"
"2012","49055","53","6","population","7"
"2012","49055","52","6","population","153"
"2012","49055","51","6","population","2"
"2012","49055","43","6","population","11"
"2012","49055","42","6","population","2"
"2012","49055","41","6","population","6"
"2012","49055","32","6","population","179"
"2012","49055","31","6","population","2310"
"2012","49055","21","6","population","1772"
"2012","49055","11","6","population","176"
"2011","49055","62","6","population","19"
"2011","49055","61","6","population","37"
"2011","49055","54","6","population","24"
"2011","49055","53","6","population","6"
"2011","49055","52","6","population","145"
"2011","49055","51","6","population","2"
"2011","49055","43","6","population","11"
"2011","49055","42","6","population","2"
"2011","49055","41","6","population","6"
"2011","49055","32","6","population","158"
"2011","49055","31","6","population","2040"
"2011","49055","21","6","population","2001"
"2011","49055","11","6","population","176"
"2010","49055","62","6","population","20"
"2010","49055","61","6","population","38"
"2010","49055","54","6","population","26"
"2010","49055","53","6","population","7"
"2010","49055","52","6","population","152"
"2010","49055","51","6","population","2"
"2010","49055","43","6","population","11"
"2010","49055","42","6","population","2"
"2010","49055","41","6","population","5"
"2010","49055","32","6","population","146"
"2010","49055","31","6","population","1877"
"2010","49055","21","6","population","2084"
"2010","49055","11","6","population","167"
"2009","49055","62","6","population","20"
"2009","49055","61","6","population","39"
"2009","49055","54","6","population","26"
"2009","49055","53","6","population","7"
"2009","49055","52","6","population","154"
"2009","49055","51","6","population","2"
"2009","49055","43","6","population","10"
"2009","49055","42","6","population","2"
"2009","49055","41","6","population","6"
"2009","49055","32","6","population","146"
"2009","49055","31","6","population","1878"
"2009","49055","21","6","population","2148"
"2009","49055","11","6","population","165"
"2008","49055","62","6","population","20"
"2008","49055","61","6","population","39"
"2008","49055","54","6","population","27"
"2008","49055","53","6","population","7"
"2008","49055","52","6","population","153"
"2008","49055","51","6","population","2"
"2008","49055","43","6","population","11"
"2008","49055","42","6","population","2"
"2008","49055","41","6","population","5"
"2008","49055","32","6","population","145"
"2008","49055","31","6","population","1874"
"2008","49055","21","6","population","2183"
"2008","49055","11","6","population","161"
"2007","49055","62","6","population","21"
"2007","49055","61","6","population","39"
"2007","49055","54","6","population","27"
"2007","49055","53","6","population","7"
"2007","49055","52","6","population","149"
"2007","49055","51","6","population","2"
"2007","49055","43","6","population","11"
